14步杀9813,2Nck1P2/6R2/9/9/5c3/9/4n4/4p4/3p1p3/4K4 w
14步杀9815,1n7/4k1Pc1/9/2pR2N2/9/9/7r1/5p3/4p4/5K3 w
14步杀9816,4P4/9/4k4/6p2/4N4/4Rcp2/9/2np5/2r1pc3/3K5 w
14步杀9817,3ak4/6RP1/4N4/2P6/9/9/2r6/3p5/4p4/3K5 w
14步杀9818,3k2b2/5R3/2P6/9/3P2N2/9/9/5p1r1/4p4/5K3 w
14步杀9820,7P1/9/2P2k3/9/4R2nN/9/1r7/9/2p1p4/3K5 w
14步杀9821,5a3/3P3P1/4k1nc1/3R2p2/3N5/9/8r/5p3/4p4/5K3 w
14步杀9822,2Ra1k1P1/4a4/5Pc2/4N4/9/9/9/4B4/1r2r4/3K2B2 w
14步杀9823,3k5/5R3/6N2/2PP5/3P2b2/9/9/5p3/4p1r2/5K3 w
14步杀9824,3a3P1/4a4/1P3k3/3PR4/9/8N/9/1r1p5/4p4/3K5 w
14步杀9825,8N/1P2c4/1P2k1P2/3R5/9/9/1r7/3p5/4p4/3K5 w
14步杀9826,5k3/2PR3P1/2P2a3/7c1/9/9/1r5N1/3p5/4p4/3K5 w
14步杀9827,2ba5/1c1k5/1PNa3P1/3P5/3R5/9/7r1/5p3/4p4/5K3 w
14步杀9828,6P2/9/1P2kaN2/1c1R5/4P4/9/9/9/4p1r2/3c1K3 w
14步杀9829,2P5n/4k4/1P3P2N/5R3/9/9/1r7/3p5/4p4/3K5 w
14步杀9830,9/3k5/3a1PP2/2R2n3/3NPP3/9/7r1/5p3/4p4/5K3 w
14步杀9831,2b1r1b2/5k3/2P6/3P1PR2/3NP4/9/1r7/9/3p1p3/4K4 w
14步杀9832,9/4k1PP1/2P6/3PPR3/9/9/1r4N2/3p5/4p4/3K5 w
14步杀9885,9/9/2nakaP2/4p4/4N4/1rccpNRr1/4p4/4p4/4n4/4K4 w
14步杀9886,3R5/6P2/4kr3/3N5/3P5/3N5/9/9/2p1p4/1p1Kc2r1 w
14步杀9922,3a1c3/2P3r2/4k3b/3P4N/9/7R1/8R/9/1r2p4/3K1n3 w
14步杀9923,9/1PNkaRPP1/9/9/9/9/7r1/3p5/4p4/2RK5 w
14步杀9924,4kaR2/4a4/1PP1R2P1/4N2c1/9/9/1r7/3p5/4p4/3K5 w
14步杀9925,1nb1ka2n/2PPNP3/9/2c6/1Rb6/9/9/r8/3p1p3/4K1R2 w
14步杀9940,1r1ak1b2/1r2a4/9/2p6/4P1N2/9/3N5/3p5/4p4/3K2RR1 w
15步杀10024,6R2/3k5/N2a1P3/4p4/3Pr4/4N4/9/9/1r1p1p3/4K4 w
15步杀10062,1rPa2bR1/5k3/4ba3/4N4/5R3/9/9/9/2p1p4/3K5 w
15步杀9977,4P4/9/3N1k3/6p2/9/4Rcp2/9/2np5/2r1pc3/3K5 w
15步杀9978,7n1/4a4/3k5/2P1RcN1n/9/9/1r7/3p5/4p4/3K5 w
15步杀9979,2P6/4a3R/4k4/3P3N1/9/5c3/4c4/3n5/4p1p2/5K3 w
15步杀9980,3k5/4a1R2/1P2N1P2/9/9/9/1r7/3p5/4p4/3K5 w
15步杀9981,3R5/5k3/2P6/2c2P3/9/6N2/1r7/9/2p1p4/3K5 w
15步杀9982,5a3/3P3P1/3k2nc1/5Rp2/3N5/9/8r/5p3/4p4/5K3 w
15步杀9983,9/9/3k1aN2/2R2P3/3P1P3/9/3c2r2/5p3/4p4/5K3 w
15步杀9984,2ck5/2P6/5aR2/3N1P3/3P5/9/r1c6/3p5/4p4/3K5 w
15步杀9985,5R3/6PP1/3k5/2pN5/3P5/9/r8/3K5/2p6/3c1n3 w
15步杀9986,5k3/6P2/2PP3P1/2c1R4/9/9/3N5/3p5/1r2p4/3K5 w
15步杀9987,2P2k3/1P2P4/5c3/3PRN3/2b6/9/9/3pp4/4r4/3K5 w
16步杀10091,N2ak4/6RP1/4b4/2P6/9/9/2r6/3p5/4p4/3K5 w
16步杀10092,2ba4r/4a4/5k1P1/3P3R1/6b2/9/3N5/3p5/r3p4/3K5 w
16步杀10093,2P5n/4ak3/1P4P1N/4R4/9/9/1r7/3p5/4p4/3K5 w
16步杀10094,2b1NR3/3k5/6P2/4PP3/3c5/9/6r2/3n5/4p4/5K3 w
16步杀10095,2P6/1P1P1k3/5c3/3PRN3/2b6/9/9/3pp4/4r4/3K5 w
16步杀10096,4k4/6PP1/2P1P4/3P1R3/9/9/1N7/1r1p5/4p4/3K5 w
16步杀10097,9/3k5/3aPcP2/2R2P3/3P1P3/3N5/9/3p5/1r2p4/3K5 w
16步杀10124,NRbk1aPrN/9/9/9/9/9/9/9/9/ccpp1Knnr w
16步杀10142,4k4/4a4/1PPanRRP1/4N2c1/9/9/1r7/3p5/4p4/3K5 w
16步杀10143,3akanP1/3P1R1P1/7c1/r2P2N2/2b6/9/9/2pp3R1/4p4/3K1c1r1 w
16步杀9814,8R/3Pak3/5ar1N/4n4/p8/9/9/3A5/9/4KA3 w
17步杀10162,5k3/1N2P4/9/6p2/9/4Rcp2/9/2np5/2r1pc3/3K5 w
17步杀10163,2P6/4ak3/8R/3P5/5N3/5c3/4c4/3n5/4p1p2/5K3 w
17步杀10164,1n7/6Pc1/2P1k3N/2p2R3/9/9/7r1/5p3/4p4/5K3 w
17步杀10165,5a3/4k2P1/2NP2nc1/5Rp2/9/9/8r/5p3/4p4/5K3 w
17步杀10166,6b2/2P2k3/2P6/4R4/3P2N2/9/9/5p1r1/4p4/5K3 w
17步杀10167,4k1P2/3R5/2P6/2c2P3/9/6N2/1r7/9/2p1p4/3K5 w
17步杀10168,2c6/9/3k1aR2/2PN1P3/3P5/9/r1c6/3p5/4p4/3K5 w
17步杀10169,4k4/5P3/9/2PPN4/3P1Rb2/9/9/5p3/4p1r2/5K3 w
17步杀10170,9/4k4/2PP2PP1/2c2R3/9/9/3N5/3p5/1r2p4/3K5 w
17步杀10171,9/4k1PP1/2P6/3PPR3/9/9/1N7/1r1p5/4p4/3K5 w
17步杀10213,1rPa2bR1/4ak3/6N2/9/6b1R/9/9/9/2p1p4/3K5 w
17步杀10214,9/3ka4/4b1P2/2P1R1R2/5P3/3N5/3r5/3p1n3/4p4/3K5 w
18步杀10189,6n2/3k5/4PRP2/2P2c3/3PNN3/9/r8/3p5/4p4/3K5 w
18步杀10229,7n1/4aN3/3k5/2P1R3n/9/9/1r3c3/3p5/4p4/3K5 w
18步杀10230,6P2/4k4/2PR5/2c2P3/9/6N2/1r7/9/2p1p4/3K5 w
18步杀10231,2P5n/4a4/1P2k2PN/3R5/9/9/1r7/3p5/4p4/3K5 w
18步杀10255,9/2Nkc1P2/4b1P2/3P2R2/3c5/3N5/9/3p5/1r1np4/3K5 w
18步杀10256,9/9/3abkc2/3P2P2/3PpNb2/3r2p2/3Nppc2/9/2prnKnR1/9 w
19步杀10274,3k5/9/3NP4/6p2/9/4Rcp2/9/2np5/2r1pc3/3K5 w
19步杀10275,2P6/4a4/4k1N2/3P4R/9/5c3/4c4/3n5/4p1p2/5K3 w
19步杀10276,1n7/5k1c1/2P3P1N/2p1R4/9/9/7r1/5p3/4p4/5K3 w
19步杀10277,6b2/2P6/2P1k4/5R3/3P5/9/7N1/5p1r1/4p4/5K3 w
19步杀10278,9/9/4k4/2PPNP3/3P1Rb2/9/9/5p3/4p1r2/5K3 w
19步杀10279,2b2R3/2N6/3k2P2/2P1PP3/3c5/9/6r2/3n5/4p4/5K3 w
19步杀10289,n1cR4N/4k4/5aP2/4pcp2/9/6N2/6r2/4r4/4p4/3K5 w
19步杀10300,1rPa1k3/4a4/8b/7RN/6b1R/9/9/9/2p1p4/3K5 w
19步杀9428,3ak4/4a4/b3b4/9/3PN4/9/npp4R1/3AB4/3KA4/2r3B2 w
19步杀9819,5k1P1/9/4b3r/3RP1p1N/9/9/9/2p6/5p3/3K5 w
1步杀415,3k1P3/2R1a4/4b4/2N6/9/9/9/3n5/7r1/5K3 w
1步杀416,3a1k3/4a1P2/b3N4/9/9/9/9/6n2/5r3/3RK4 w
1步杀417,4ka3/3P5/9/5r3/4N4/4R4/9/5n3/4p4/5K3 w
1步杀418,5a3/3k1P3/9/3Nn4/9/3R5/9/9/2rp5/4K4 w
1步杀419,2bk1N1R1/4P4/9/2n6/9/9/9/9/3pA4/2c1KA1rc w
1步杀420,2P3b2/3k3NR/3aba3/9/9/9/3p4P/4KA3/5p3/2nA5 w
1步杀492,2bk1a3/3ra4/4c4/p6N1/3r5/9/P8/4B2R1/4A4/2R1KA3 w
20步杀10312,9/2P6/N2a1k3/4p1P2/3Pr4/4N4/9/9/1r1p1p3/4K1R2 w
2步杀1006,2b1ka3/4aPN2/4b4/9/9/2R6/9/3p2n2/5p3/3AK4 w
2步杀1007,5k3/3NR4/4b4/9/2b6/6P2/9/6n2/3p1p3/2p1K4 w
2步杀1008,2b6/3k5/b3Pa3/9/N8/1n7/5p3/9/3p1p3/3AK1R2 w
2步杀1009,2bk1c1R1/4aN3/3a4b/2P6/9/9/9/2n1p4/5p3/4K4 w
2步杀1010,2b5R/2c1aN3/3kba3/n1P6/9/9/1c5n1/2p1K1p2/3p1p3/4p4 w
2步杀1011,3ak4/4aP3/9/9/3RN4/9/9/9/2p1r4/3K5 w
2步杀1012,2bk5/2P6/4bN3/6R2/9/4c4/3r5/4B4/4A4/4KAB2 w
2步杀1013,3N5/4P4/3k5/9/9/9/9/B8/5p3/crR1K4 w
2步杀1014,4c4/2P6/3k1ar2/4R4/1cbN5/9/9/5p3/4p4/5K3 w
2步杀1015,3a1kb2/4a4/3NbP3/9/9/9/6R2/5n3/4r4/3K5 w
2步杀1016,3k5/4P4/4bN3/9/9/9/9/3n5/4r1p2/2R2K3 w
2步杀1017,4ka3/4aPN2/9/2R6/9/9/4n4/9/3p2r2/4K4 w
2步杀1018,2Rak4/3Pa4/4b1n2/5N3/9/9/9/9/1r2p4/3K5 w
2步杀1019,r3ka3/3Pa4/3Nb4/9/9/9/2R6/6n2/5p3/4K4 w
2步杀1020,2bak4/1N1RaP3/4b4/9/9/9/9/2n3r2/5p3/4K4 w
2步杀1021,3ak1b2/2NPa4/4b4/9/9/7R1/9/2nA5/3r1p3/4K4 w
2步杀1022,2bak4/1N1RaP3/4b4/9/9/9/9/6n2/3p1r3/2BAKAB2 w
2步杀1023,4kab2/3PaR1N1/4b4/9/9/9/9/2n6/3r1p3/2BAKAB2 w
2步杀1024,3P5/4k4/3R3N1/9/9/5n3/8r/5p3/4p4/5K3 w
2步杀1025,4k4/3P5/b2Nb4/9/9/2R6/9/8n/3p1p1r1/4K4 w
2步杀1026,2b2k3/4a4/5a3/r8/2b5N/4c1P2/3n5/3AB4/4A4/4K1BR1 w
2步杀1027,3ak4/4ar3/4PN3/9/8R/9/9/2n6/5p3/c3K4 w
2步杀1028,3a2b2/7R1/4ka2b/9/4N4/2B6/P8/3A5/rp1nA4/2c2K3 w
2步杀1029,2Nc1a3/3k5/8b/7P1/4R1p2/9/9/4B4/4Anr2/4KABc1 w
2步杀1030,2bak4/1N1RaP3/4b4/9/9/4n4/9/4B4/1n3r3/2BAKA3 w
2步杀1031,3aka3/4n2N1/7R1/4n4/6b2/6B2/8P/4B1c2/4A1p1r/4KA3 w
