name,type_red,type_black,fen,branchs,steps,moves
封阻底布 二线横杀(9).xqf,双车炮三兵仕相全,车双马双炮双卒双士象,3aka3/1n1P5/2R5b/6R1p/p8/2C3P2/1cn2r2P/4B4/4A4/c2K1AB2 w,1,11,g6e6 f9e8 e6e8 e9f9 c7f7 f3f7 e8e9 f9f8 c4c8 d9e8 d8e8
控二纵断同步横杀(3).xqf,双车马双炮双兵仕相全,双车马双炮双卒士双象,2bak4/5R3/r1C1b4/8P/pN6R/4c2n1/P4p3/4B1cr1/4A4/1C1AK1B2 w,1,11,i5g5 e7g5 b5a7 c9a7 b0b8 g5e7 f8d8 d9e8 c7c9 e9f9 d8d9
控制纵横 暴露钳杀(13).xqf,双车马双炮三兵双仕相,双车马双炮双卒士象全,2ba1k3/4a4/n3b4/2pN3R1/p8/2P2CP2/P3cr3/4B3C/4A4/3RKArc1 w,1,11,d6f5 f3f4 d0d9 e8d9 f5g7 f9f8 h6h8 f8f7 i2i7 h0h7 g7f5
炮封中线两肋纵杀(4).xqf,双车双炮三兵仕相全,双车双炮三卒士象全,2b3b2/4ak3/5a3/p3R1P1p/2p3r2/1r7/2c1P3P/B3C2RC/4A4/c3KAB2 w,1,11,e6e8 f7e8 h2f2 e8f7 f2f7 f8f7 g6f6 f7f8 i2f2 g5f5 f6f7
纵线控制 横线钳杀(1).xqf,双车双马双炮三兵双仕相,双车双马双炮多卒双士象,2bakr3/1N2a1cR1/9/1Np1p2Rp/p8/2C6/P2nP3P/1Cc3n2/5r3/3AKAB2 w,1,11,c4c9 c2c9 b8d7 e8d7 b6c8 g8d8 h6e6 d7e8 h8e8 d9e8 b2b9
车封二线 底线横杀(3).xqf,双车双炮三兵双仕相,双车双马炮多卒双士象,4kab2/1R2an3/7C1/p3p3p/1R1C5/3p2P2/P3n3P/9/2r2r3/3AKABc1 w,1,11,h7e7 e8d9 e7e3 d4e4 d5e5 e6e5 b5e5 f8e6 e5e6 g9e7 e6e7
车封二线 底线横杀(4).xqf,双车马双炮双兵仕相全,双车马双炮三卒士象全,2bak1br1/4aR1N1/9/C3p3p/9/PC4B2/4c2cP/4B1n2/2p1A2r1/3RKA3 w,1,11,h8f9 h3h8 a6a8 h1f1 f8e8 e9e8 d0d8 e8e9 d8d9 e9e8 d9d8
马封二线 底线横杀(2).xqf,双车马双炮三兵仕相全,双车马双炮三卒士象全,4ka3/4a2R1/b3b4/pR2N3p/2p4n1/2P1c1C2/P5P1r/3CB4/4Ar3/2BAK3c w,1,11,g4g9 e7g9 b6b9 e8d9 b9d9 e9d9 e6c7 d9e9 h8b8 g9e7 d2d8
马封二线 底线横杀(8).xqf,双车马炮双兵仕相全,双车马炮三卒士象全,3ak4/4a4/b1C1b4/p2R4p/8n/r2NP1P2/3p3R1/4B4/3rA4/c3KAB2 w,1,11,h3h9 e8f9 d4c6 i5h3 c7c9 d9e8 c9f9 h3g1 f9f1 e8f9 d6d9
露将横阻 闷攻纵杀(2).xqf,双车双马炮三兵仕相全,双车双马双炮双卒士双象,2ba1kr2/4n4/4b4/p1RR4p/3n5/2PCN2N1/P3c3P/4B4/4A4/2BAK1cr1 w,1,12,d6d9 f9f8 c6f6 d5f6 d4d8 f8f7 e4d6 e3e6 d8d7 f7f8 h4g6 g9g6
12纵马卧槽 妙献双车.XQF,双车双马双炮三兵仕相全,双车双马双炮多卒士象全,4kabr1/4a4/1c2b2c1/1R2pN2p/5np2/p1p6/n1P1P3P/N3C4/2Cr5/2BAKABR1 w,1,13,h0h1 d1h1 f6g8 e9d9 e2d2 d9d8 d0e1 f5e3 c0e2 e8d9 b6b7 h7b7 g8f6
72局-实战杀局欣赏.xqf,车双马双炮多兵双仕相,双车双炮三卒士象全,2baka3/9/6r2/p4R2p/c1b6/1NP1C1r2/P3Pp2P/4C4/1c2A3N/2BAK4 w,1,13,b4c6 b1i1 c6e7 d9e8 e7c8 e9d9 f6d6 e8d7 e2d2 d9d8 d6e6 d7e8 e4d4
84局-实战杀局欣赏.xqf,双车双炮兵双仕相,双车马炮卒士象全,C3kab2/4a3R/4b4/p6R1/7n1/9/5rP2/4B4/4A4/3CKA1rc w,3,13,d0d9 e7c9 d9d8 c9a7 i8i0 h0i0 d8b8|d0d9 e7c9 d9d8 e8d9 h6e6 f9e8 i8e8 e9f9 e8e9 f9f8 a9a8 f8f7 e9f9|d0d9 e9d9 h6d6 d9e9 e0d0
85局-实战杀局欣赏.xqf,双车马炮三兵仕相全,双车马炮双卒士象全,1R1aka3/9/4b4/3r3rp/2b3p2/2C1P1P2/cN6P/2n1B4/4A4/2BAK1R2 b,1,13,d6d1 b9a9 a3i3 a9a2 c2e1 d0e1 h6h1 a2d2 h1e1 e0f0 e1f1 f0e0 i3e3
87局-实战杀局欣赏.xqf,双马三兵仕相,车双卒双象,2b6/3kN4/b8/3P1N3/p5p2/2P6/P3r4/8B/9/3A1K3 w,1,13,d6d7 d8d9 e8c7 d9e9 f6g8 e9e8 d7e7 e8d8 e7e8 d8d7 g8f6 e3e6 c7d5
93局-实战杀局欣赏.xqf,双车马双炮三兵仕相全,双车双马炮多卒士象全,2bnka3/4aR3/4b4/p1N4rp/3rp1pn1/2P6/PR4c1P/C3C4/9/2BAKAB2 w,1,13,a2c2 g5g4 c6d8 e7c5 c4c5 d5c5 b3e3 h5f4 c2c9 c5c9 e3e5 f4e2 e5e2
